.HEADER
..NAMES
Time,Dig_V(:cic3_echip65_1x1_top_tb:v)
..UNITS
s,
..DATATYPES
double,bit
..WAVEFORM_TYPES
,bit
..AXIS_SPACING
linear
.DATA
4.692629e-4,'1'
4.694581e-4,'0'
4.696535e-4,'1'
4.698488e-4,'0'
4.700441e-4,'1'
4.704347e-4,'0'
4.706300e-4,'1'
4.708254e-4,'0'
4.710206e-4,'1'
4.714113e-4,'0'
4.716066e-4,'1'
4.719972e-4,'0'
4.721926e-4,'1'
4.723878e-4,'0'
4.725832e-4,'1'
4.727784e-4,'0'
4.729738e-4,'1'
4.731691e-4,'0'
4.733644e-4,'1'
4.737550e-4,'0'
4.739503e-4,'1'
4.743409e-4,'0'
4.745363e-4,'1'
4.747316e-4,'0'
4.749269e-4,'1'
4.751222e-4,'0'
4.753175e-4,'1'
4.757081e-4,'0'
4.759035e-4,'1'
4.760988e-4,'0'
4.762941e-4,'1'
4.764894e-4,'0'
4.766847e-4,'1'
4.770753e-4,'0'
4.772707e-4,'1'
4.774660e-4,'0'
4.776613e-4,'1'
4.778566e-4,'0'
4.780519e-4,'1'
4.784425e-4,'0'
4.786378e-4,'1'
4.788332e-4,'0'
4.790285e-4,'1'
4.794191e-4,'0'
4.796144e-4,'1'
4.798097e-4,'0'
4.800050e-4,'1'
4.802003e-4,'0'
4.803957e-4,'1'
4.805910e-4,'0'
4.807863e-4,'1'
4.811769e-4,'0'
4.813722e-4,'1'
4.815675e-4,'0'
4.817628e-4,'1'
4.819581e-4,'0'
4.821535e-4,'1'
4.823488e-4,'0'
4.825441e-4,'1'
4.829347e-4,'0'
4.831300e-4,'1'
4.833253e-4,'0'
4.835206e-4,'1'
4.837160e-4,'0'
4.839113e-4,'1'
4.843019e-4,'0'
4.844972e-4,'1'
4.846925e-4,'0'
4.848879e-4,'1'
4.850831e-4,'0'
4.852785e-4,'1'
4.854738e-4,'0'
4.856691e-4,'1'
4.858644e-4,'0'
4.860597e-4,'1'
4.864503e-4,'0'
4.866457e-4,'1'
4.868409e-4,'0'
4.870363e-4,'1'
4.872316e-4,'0'
4.874269e-4,'1'
4.876222e-4,'0'
4.878175e-4,'1'
4.880129e-4,'0'
4.882081e-4,'1'
4.885987e-4,'0'
4.887941e-4,'1'
4.889894e-4,'0'
4.891847e-4,'1'
4.893800e-4,'0'
4.895754e-4,'1'
4.897706e-4,'0'
4.899660e-4,'1'
4.901613e-4,'0'
4.903566e-4,'1'
4.905519e-4,'0'
4.907472e-4,'1'
4.911378e-4,'0'
4.915284e-4,'1'
4.919191e-4,'0'
4.921144e-4,'1'
4.923097e-4,'0'
4.925051e-4,'1'
4.927003e-4,'0'
4.928957e-4,'1'
4.930909e-4,'0'
4.932863e-4,'1'
4.934816e-4,'0'
4.936769e-4,'1'
4.938722e-4,'0'
4.940675e-4,'1'
4.942629e-4,'0'
4.944581e-4,'1'
4.948487e-4,'0'
4.952394e-4,'1'
4.956300e-4,'0'
4.958254e-4,'1'
4.960206e-4,'0'
4.964113e-4,'1'
4.968019e-4,'0'
4.969972e-4,'1'
4.971925e-4,'0'
4.973879e-4,'1'
4.975831e-4,'0'
4.977785e-4,'1'
4.979737e-4,'0'
4.981691e-4,'1'
4.983644e-4,'0'
4.985598e-4,'1'
4.987550e-4,'0'
4.989504e-4,'1'
4.991456e-4,'0'
4.993410e-4,'1'
4.995362e-4,'0'
4.997316e-4,'1'
4.999269e-4,'0'
5.001223e-4,'1'
5.003175e-4,'0'
5.005129e-4,'1'
5.007081e-4,'0'
5.009035e-4,'1'
5.010987e-4,'0'
5.012941e-4,'1'
5.014894e-4,'0'
5.016848e-4,'1'
5.018800e-4,'0'
5.020754e-4,'1'
5.022706e-4,'0'
5.026613e-4,'1'
5.030519e-4,'0'
5.032472e-4,'1'
5.034425e-4,'0'
5.036379e-4,'1'
5.038331e-4,'0'
5.040285e-4,'1'
5.042237e-4,'0'
5.046144e-4,'1'
5.050050e-4,'0'
5.052004e-4,'1'
5.053956e-4,'0'
